Xpos,Ypos,Zpos,DoneFlag
0.3709814,1.9075745,-0.026931262,false
0.34447202,1.8851694,0.006922892,false
0.3179499,1.8627552,0.038058724,false
0.291415,1.8403318,0.0664733,false
0.2648673,1.8178993,0.092163935,false
0.2383068,1.7954577,0.115128234,false
0.21173349,1.7730069,0.13536404,false
0.18514736,1.7505469,0.15286951,false
0.15854838,1.7280779,0.16764303,false
0.13193657,1.7055997,0.17968327,false
0.105311885,1.6831121,0.18898916,false
0.07867433,1.6606156,0.19555992,false
0.05202388,1.6381097,0.19939505,false
0.025360536,1.6155947,0.20049427,false
-0.0013157238,1.5930705,0.19885756,false
-0.028004909,1.5705371,0.19448458,false
-0.05470703,1.5479944,0.18737476,false
-0.081422105,1.5254426,0.17752728,false
-0.10815014,1.5028814,0.16494101,false
-0.13489115,1.480311,0.14961457,false
-0.16164514,1.4577315,0.13154629,false
-0.18841214,1.4351426,0.11073425,false
-0.21519215,1.4125445,0.08717622,false
-0.24198519,1.389937,0.060869727,false
-0.26879126,1.3673203,0.031812,false
-0.2956104,1.3446944,0.0,true
1.2641312,1.9646547,-0.03248216,false
1.2227272,1.922876,0.010821637,false
1.1812922,1.8810656,0.05141943,false
1.1398258,1.8392235,0.08930736,false
1.0983284,1.7973495,0.12448183,false
1.0567995,1.7554436,0.1569395,false
1.0152394,1.7135059,0.1866773,false
0.97364783,1.6715361,0.21369246,false
0.93202484,1.6295344,0.23798239,false
0.89037037,1.5875006,0.25954485,false
0.8486844,1.5454346,0.27837783,false
0.8069668,1.5033365,0.2944796,false
0.76521754,1.4612062,0.30784872,false
0.72343665,1.4190437,0.31848398,false
0.68162405,1.3768488,0.32638445,false
0.6397797,1.3346217,0.3315495,false
0.5979035,1.2923621,0.33397874,false
0.5559954,1.25007,0.33367208,false
0.51405543,1.2077454,0.33062935,false
0.47208348,1.1653883,0.32485008,false
0.43007952,1.1229986,0.3163336,false
0.3880435,1.0805762,0.3050789,false
0.34597534,1.0381211,0.2910847,false
0.30387503,0.9956333,0.27434957,false
0.26174253,0.95311266,0.2548716,false
0.21957776,0.9105592,0.23264879,false
0.17738068,0.86797273,0.20767874,false
0.13515124,0.8253534,0.17995884,false
0.09288939,0.78270096,0.14948617,false
0.050595086,0.7400155,0.11625756,false
0.00826827,0.697297,0.080269545,false
-0.034091104,0.65454525,0.041518368,false
-0.076483086,0.6117603,0.0,true
1.2918248,2.2636755,-0.011828676,false
1.2458817,2.227889,0.018742656,false
1.1999,2.1920793,0.04659215,false
1.15388,2.1562462,0.07171719,false
1.1078215,2.1203897,0.094115414,false
1.0617243,2.0845098,0.11378475,false
1.0155886,2.0486069,0.13072339,false
0.96941423,2.0126803,0.14492978,false
0.9232011,1.9767301,0.15640263,false
0.87694913,1.9407566,0.16514097,false
0.8306583,1.9047595,0.17114405,false
0.7843285,1.868739,0.17441142,false
0.7379597,1.8326948,0.17494288,false
0.6915518,1.796627,0.17273834,false
0.64510477,1.7605357,0.16779745,false
0.5986185,1.7244205,0.16011956,false
0.55209297,1.6882819,0.14970382,false
0.50552815,1.6521194,0.13654901,false
0.45892385,1.6159331,0.120653704,false
